Z	T
0	320
6.54E-05	318.27
1.31E-04	316.58
1.96E-04	314.93
2.62E-04	313.35
3.27E-04	311.88
3.93E-04	310.51
4.58E-04	309.25
5.23E-04	308.1
5.89E-04	307.08
6.54E-04	306.16
7.20E-04	305.35
7.85E-04	304.64
8.50E-04	304.03
9.16E-04	303.49
9.81E-04	303.02
1.05E-03	302.62
1.11E-03	302.29
1.18E-03	302
1.24E-03	301.76
1.31E-03	301.56
1.37E-03	301.39
1.44E-03	301.26
1.50E-03	301.17
1.57E-03	301.1
1.64E-03	301.05
1.70E-03	301.03
1.77E-03	301.04
1.83E-03	301.07
1.90E-03	301.13
1.96E-03	301.21
2.03E-03	301.33
2.09E-03	301.47
2.16E-03	301.64
2.22E-03	301.86
2.29E-03	302.11
2.36E-03	302.4
2.42E-03	302.75
2.49E-03	303.14
2.55E-03	303.59
2.62E-03	304.09
2.68E-03	304.66
2.75E-03	305.28
2.81E-03	305.96
2.88E-03	306.69
2.94E-03	307.48
3.01E-03	308.3
3.07E-03	309.14
3.14E-03	310
