S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Temperature (K)
0.	0.	0.	1.57e-003	301.1
2.0833e-005	0.	2.0833e-005	1.57e-003	301.09
4.1667e-005	0.	4.1667e-005	1.57e-003	301.09
6.25e-005	0.	6.25e-005	1.57e-003	301.09
8.3333e-005	0.	8.3333e-005	1.57e-003	301.08
1.0417e-004	0.	1.0417e-004	1.57e-003	301.08
1.25e-004	0.	1.25e-004	1.57e-003	301.07
1.4583e-004	0.	1.4583e-004	1.57e-003	301.06
1.6667e-004	0.	1.6667e-004	1.57e-003	301.05
1.875e-004	0.	1.875e-004	1.57e-003	301.04
2.0833e-004	0.	2.0833e-004	1.57e-003	301.03
2.2917e-004	0.	2.2917e-004	1.57e-003	301.02
2.5e-004	0.	2.5e-004	1.57e-003	301.
2.7083e-004	0.	2.7083e-004	1.57e-003	300.98
2.9167e-004	0.	2.9167e-004	1.57e-003	300.97
3.125e-004	0.	3.125e-004	1.57e-003	300.95
3.3333e-004	0.	3.3333e-004	1.57e-003	300.93
3.5417e-004	0.	3.5417e-004	1.57e-003	300.91
3.75e-004	0.	3.75e-004	1.57e-003	300.89
3.9583e-004	0.	3.9583e-004	1.57e-003	300.86
4.1667e-004	0.	4.1667e-004	1.57e-003	300.84
4.375e-004	0.	4.375e-004	1.57e-003	300.82
4.5833e-004	0.	4.5833e-004	1.57e-003	300.79
4.7917e-004	0.	4.7917e-004	1.57e-003	300.77
5.e-004	0.	5.e-004	1.57e-003	300.74
5.2083e-004	0.	5.2083e-004	1.57e-003	300.71
5.4167e-004	0.	5.4167e-004	1.57e-003	300.68
5.625e-004	0.	5.625e-004	1.57e-003	300.65
5.8333e-004	0.	5.8333e-004	1.57e-003	300.62
6.0417e-004	0.	6.0417e-004	1.57e-003	300.59
6.25e-004	0.	6.25e-004	1.57e-003	300.56
6.4583e-004	0.	6.4583e-004	1.57e-003	300.53
6.6667e-004	0.	6.6667e-004	1.57e-003	300.5
6.875e-004	0.	6.875e-004	1.57e-003	300.47
7.0833e-004	0.	7.0833e-004	1.57e-003	300.44
7.2917e-004	0.	7.2917e-004	1.57e-003	300.41
7.5e-004	0.	7.5e-004	1.57e-003	300.37
7.7083e-004	0.	7.7083e-004	1.57e-003	300.34
7.9167e-004	0.	7.9167e-004	1.57e-003	300.31
8.125e-004	0.	8.125e-004	1.57e-003	300.28
8.3333e-004	0.	8.3333e-004	1.57e-003	300.25
8.5417e-004	0.	8.5417e-004	1.57e-003	300.21
8.75e-004	0.	8.75e-004	1.57e-003	300.18
8.9583e-004	0.	8.9583e-004	1.57e-003	300.15
9.1667e-004	0.	9.1667e-004	1.57e-003	300.12
9.375e-004	0.	9.375e-004	1.57e-003	300.09
9.5833e-004	0.	9.5833e-004	1.57e-003	300.06
9.7917e-004	0.	9.7917e-004	1.57e-003	300.03
1.e-003	0.	1.e-003	1.57e-003	300.
